submission_date,new_case,new_death,Year,Month,state,Months,submission_dates,-Months
9/17/2021,3873,23,2021,Sep,NY,9,September,44456
2/23/2021,3122,43,2021,Feb,NY,2,February,44250
9/21/2021,3611,29,2021,Sep,NY,9,September,44460
4/4/2021,3779,22,2021,Apr,NY,4,April,44290
9/7/2021,2262,26,2021,Sep,NY,9,September,44446
4/26/2021,1696,23,2021,Apr,NY,4,April,44312
6/7/2021,293,5,2021,Jun,NY,6,June,44354
7/4/2021,161,2,2021,Jul,NY,7,July,44381
10/21/2021,3178,40,2021,Oct,NY,10,October,44490
2/1/2021,4314,88,2021,Feb,NY,2,February,44228
2/11/2021,4906,69,2021,Feb,NY,2,February,44238
12/19/2021,10074,39,2021,Dec,NY,12,December,44549
9/15/2021,3181,25,2021,Sep,NY,9,September,44454
6/6/2021,309,12,2021,Jun,NY,6,June,44353
3/3/2021,3389,28,2021,Mar,NY,3,March,44258
10/7/2021,3678,20,2021,Oct,NY,10,October,44476
12/17/2021,10741,53,2021,Dec,NY,12,December,44547
8/25/2021,2393,11,2021,Aug,NY,8,August,44433
8/12/2021,2444,13,2021,Aug,NY,8,August,44420
7/27/2021,775,1,2021,Jul,NY,7,July,44404
6/19/2021,237,13,2021,Jun,NY,6,June,44366
6/5/2021,490,10,2021,Jun,NY,6,June,44352
4/21/2021,2341,24,2021,Apr,NY,4,April,44307
2/27/2021,3769,31,2021,Feb,NY,2,February,44254
3/29/2021,3637,23,2021,Mar,NY,3,March,44284
9/18/2021,3286,19,2021,Sep,NY,9,September,44457
5/22/2021,852,14,2021,May,NY,5,May,44338
3/14/2021,2809,22,2021,Mar,NY,3,March,44269
6/20/2021,54,0,2021,Jun,NY,6,June,44367
11/13/2021,5095,15,2021,Nov,NY,11,November,44513
6/12/2021,272,9,2021,Jun,NY,6,June,44359
5/20/2021,1013,14,2021,May,NY,5,May,44336
11/25/2021,6762,24,2021,Nov,NY,11,November,44525
1/29/2021,6799,89,2021,Jan,NY,1,January,44225
2/16/2021,3053,44,2021,Feb,NY,2,February,44243
4/28/2021,1849,18,2021,Apr,NY,4,April,44314
12/3/2021,8853,42,2021,Dec,NY,12,December,44533
4/13/2021,2718,19,2021,Apr,NY,4,April,44299
9/26/2021,2963,29,2021,Sep,NY,9,September,44465
9/19/2021,3520,25,2021,Sep,NY,9,September,44458
10/9/2021,3539,28,2021,Oct,NY,10,October,44478
12/16/2021,9958,40,2021,Dec,NY,12,December,44546
2/9/2021,3514,84,2021,Feb,NY,2,February,44236
10/19/2021,1850,25,2021,Oct,NY,10,October,44488
6/11/2021,265,6,2021,Jun,NY,6,June,44358
7/9/2021,321,3,2021,Jul,NY,7,July,44386
4/12/2021,2750,23,2021,Apr,NY,4,April,44298
4/6/2021,2850,13,2021,Apr,NY,4,April,44292
7/21/2021,582,3,2021,Jul,NY,7,July,44398
11/30/2021,5170,36,2021,Nov,NY,11,November,44530
7/8/2021,218,2,2021,Jul,NY,7,July,44385
11/22/2021,4094,27,2021,Nov,NY,11,November,44522
10/12/2021,2348,25,2021,Oct,NY,10,October,44481
5/25/2021,479,7,2021,May,NY,5,May,44341
12/24/2021,17378,49,2021,Dec,NY,12,December,44554
1/15/2021,12217,132,2021,Jan,NY,1,January,44211
11/20/2021,5556,18,2021,Nov,NY,11,November,44520
9/29/2021,3826,30,2021,Sep,NY,9,September,44468
11/28/2021,4506,27,2021,Nov,NY,11,November,44528
2/10/2021,3783,75,2021,Feb,NY,2,February,44237
8/10/2021,1722,8,2021,Aug,NY,8,August,44418
4/7/2021,3746,28,2021,Apr,NY,4,April,44293
9/2/2021,3256,24,2021,Sep,NY,9,September,44441
8/17/2021,2045,10,2021,Aug,NY,8,August,44425
