submission_date,new_case,new_death,Year,Month,state,Months,submission_dates,-Months,
1/3/2021,4844,56,2021,Jan,PA,1,January,44199,
9/7/2021,2536,10,2021,Sep,PA,9,September,44446,
8/12/2021,2311,16,2021,Aug,PA,8,August,44420,
8/15/2021,2098,0,2021,Aug,PA,8,August,44423,
12/13/2021,5395,2,2021,Dec,PA,12,December,44543,
8/22/2021,2125,1,2021,Aug,PA,8,August,44430,
3/9/2021,2999,40,2021,Mar,PA,3,March,44264,
6/25/2021,198,24,2021,Jun,PA,6,June,44372,
2/1/2021,3352,85,2021,Feb,PA,2,February,44228,
6/20/2021,117,9,2021,Jun,PA,6,June,44367,
11/16/2021,5778,72,2021,Nov,PA,11,November,44516,
11/23/2021,5186,72,2021,Nov,PA,11,November,44523,
4/27/2021,3811,84,2021,Apr,PA,4,April,44313,
10/3/2021,6289,31,2021,Oct,PA,10,October,44472,
8/3/2021,1562,11,2021,Aug,PA,8,August,44411,
2/2/2021,3711,125,2021,Feb,PA,2,February,44229,
10/21/2021,4998,94,2021,Oct,PA,10,October,44490,
2/22/2021,1483,17,2021,Feb,PA,2,February,44249,
5/7/2021,3011,47,2021,May,PA,5,May,44323,
10/17/2021,3821,0,2021,Oct,PA,10,October,44486,
9/28/2021,5429,75,2021,Sep,PA,9,September,44467,
11/26/2021,6122,0,2021,Nov,PA,11,November,44526,
11/15/2021,3437,10,2021,Nov,PA,11,November,44515,
10/11/2021,2872,0,2021,Oct,PA,10,October,44480,
6/6/2021,354,5,2021,Jun,PA,6,June,44353,
2/25/2021,2354,81,2021,Feb,PA,2,February,44252,
9/20/2021,2569,2,2021,Sep,PA,9,September,44459,
10/2/2021,3392,51,2021,Oct,PA,10,October,44471,
1/18/2021,3988,80,2021,Jan,PA,1,January,44214,
10/28/2021,4312,95,2021,Oct,PA,10,October,44497,
5/12/2021,2059,52,2021,May,PA,5,May,44328,
11/13/2021,5938,80,2021,Nov,PA,11,November,44513,
4/10/2021,4690,40,2021,Apr,PA,4,April,44296,
3/28/2021,3049,15,2021,Mar,PA,3,March,44283,
11/14/2021,4752,42,2021,Nov,PA,11,November,44514,
4/19/2021,2142,2,2021,Apr,PA,4,April,44305,
2/21/2021,1873,27,2021,Feb,PA,2,February,44248,
8/7/2021,1661,4,2021,Aug,PA,8,August,44415,
5/5/2021,2729,56,2021,May,PA,5,May,44321,
11/25/2021,5950,146,2021,Nov,PA,11,November,44525,
1/30/2021,5494,140,2021,Jan,PA,1,January,44226,
12/21/2021,9607,197,2021,Dec,PA,12,December,44551,
6/27/2021,133,11,2021,Jun,PA,6,June,44374,
10/16/2021,4485,0,2021,Oct,PA,10,October,44485,
5/25/2021,1155,42,2021,May,PA,5,May,44341,
2/3/2021,3092,143,2021,Feb,PA,2,February,44230,
6/22/2021,250,34,2021,Jun,PA,6,June,44369,
3/31/2021,4393,44,2021,Mar,PA,3,March,44286,
9/26/2021,4247,13,2021,Sep,PA,9,September,44465,
6/23/2021,224,8,2021,Jun,PA,6,June,44370,
9/10/2021,5005,37,2021,Sep,PA,9,September,44449,
10/24/2021,3414,8,2021,Oct,PA,10,October,44493,
11/17/2021,6024,150,2021,Nov,PA,11,November,44517,
10/18/2021,2902,105,2021,Oct,PA,10,October,44487,
9/8/2021,4391,38,2021,Sep,PA,9,September,44447,
3/5/2021,2612,43,2021,Mar,PA,3,March,44260,
1/12/2021,7571,227,2021,Jan,PA,1,January,44208,
11/18/2021,6637,96,2021,Nov,PA,11,November,44518,
9/17/2021,5198,44,2021,Sep,PA,9,September,44456,
11/19/2021,7604,96,2021,Nov,PA,11,November,44519,
2/27/2021,3421,63,2021,Feb,PA,2,February,44254,
3/8/2021,1412,7,2021,Mar,PA,3,March,44263,
9/5/2021,3176,15,2021,Sep,PA,9,September,44444,
6/11/2021,402,19,2021,Jun,PA,6,June,44358,
5/3/2021,1646,1,2021,May,PA,5,May,44319,
1/24/2021,3826,83,2021,Jan,PA,1,January,44220,
6/4/2021,734,30,2021,Jun,PA,6,June,44351,
9/3/2021,3438,27,2021,Sep,PA,9,September,44442,
2/6/2021,4141,157,2021,Feb,PA,2,February,44233,
4/7/2021,4526,48,2021,Apr,PA,4,April,44293,
12/1/2021,7606,100,2021,Dec,PA,12,December,44531,
8/24/2021,3026,20,2021,Aug,PA,8,August,44432,
1/28/2021,6987,198,2021,Jan,PA,1,January,44224,
1/26/2021,5085,219,2021,Jan,PA,1,January,44222,
6/26/2021,190,7,2021,Jun,PA,6,June,44373,
4/13/2021,7083,66,2021,Apr,PA,4,April,44299,
3/3/2021,2504,69,2021,Mar,PA,3,March,44258,
6/24/2021,200,0,2021,Jun,PA,6,June,44371,
2/4/2021,3344,146,2021,Feb,PA,2,February,44231,
9/25/2021,4966,64,2021,Sep,PA,9,September,44464,
5/16/2021,1041,67,2021,May,PA,5,May,44332,
3/29/2021,2885,14,2021,Mar,PA,3,March,44284,
6/10/2021,460,21,2021,Jun,PA,6,June,44357,
9/11/2021,5131,31,2021,Sep,PA,9,September,44450,
1/11/2021,5229,83,2021,Jan,PA,1,January,44207,
9/4/2021,4783,28,2021,Sep,PA,9,September,44443,
3/12/2021,3056,40,2021,Mar,PA,3,March,44267,
10/13/2021,5012,170,2021,Oct,PA,10,October,44482,
7/5/2021,120,0,2021,Jul,PA,7,July,44382,
6/28/2021,82,3,2021,Jun,PA,6,June,44375,
8/2/2021,866,2,2021,Aug,PA,8,August,44410,
11/1/2021,2764,1,2021,Nov,PA,11,November,44501,
4/26/2021,1865,0,2021,Apr,PA,4,April,44312,
1/20/2021,5592,401,2021,Jan,PA,1,January,44216,
5/23/2021,938,13,2021,May,PA,5,May,44339,
4/12/2021,2507,1,2021,Apr,PA,4,April,44298,
8/10/2021,2099,11,2021,Aug,PA,8,August,44418,
